Nyokanhete Jacob,M,MDC-Alliance,17 451
Taderera Michael,M,NPF,196
Name Of Candidate,Sex,Party,Votes Received
Chadzamira Ruvai Ezra,M,ZANU PF,9212
Madzivire Rosiwita,F,MDC-Alliance,4694
Makusha Henry,M,PRC,290
Masvosvere Thomas,M,MDC T,879
Mharadza Tachiona,M,Independent,887
Mutarisi Daniel,M,Independent,231
Shiri Abraham,M,MRP,77
Name Of Candidate,Sex,Party,Votes Received
Bhasikiti-Chuma,,,3 574
Kudakwashe,M,MDC-Alliance,
Omar Joosbi,M,ZANU PF,22 926
Mashora Josiya,M,ZIPP,511
Mhango Turner,M,Free Zim Congress,317
Name Of Candidate,Sex,Party,Votes Received
Dube Isau,M,Independent,544
Hungwe Amos,M,MDC-Alliance,1 312
Moyo Priscilla,F,ZANU PF,23 778
Zoto Tafadzwa,M,RPZ,243
Name Of Candidate,Sex,Party,Votes Received
Chapfidza Jefry,M,Build Zimbabwe Alliance,421
Chinoputsa Lovemore,M,MDC-Alliance,6 940
Mangoyo Evelyn,F,PRC,140
Svuure Davison,M,ZANU PF,11 784
Name Of Candidate,Sex,Party,Votes Received
Chavarika Clemence,M,NCA,280
Gumbi James,M,MDC-Alliance,3 804
Gumbwanda Katson,M,ZANU PF,8 855
Ringirisai,,,
Ngirivani Tavengwa,M,PRC,165
Nyuni Patrick,M,ZIPP,77
Name Of Candidate,Sex,Party,Votes Received
Darikayi Naboth,M,PRC,455
Mahenga Herbert,M,Independent,259
Tinashe,,,
Mavenyengwa Robson,M,ZANU PF,10 570
Mupindu Simon,M,MDC-Alliance,5 508
Mutimhairi Modrack,M,UDA,118
Peter John,M,MDC T,307
Riekert Phionah,F,National Patriotic Front,1 017
Toruvanda Prichard,M,ZIPP,124
Name Of Candidate,Sex,Party,Votes Received
Dumbu Festus,M,MDC-Alliance,3 267
Jasi Happyson,M,ZIPP,233
Mahlekete Peter,M,PRC,311
Mugari Elvis,M,National Patriotic Front,91
Murambiwa Ophias,M,ZANU PF,8 481
Zivenge William,M,MDC-Alliance,465
